[2026-04-08T13:01:02.023Z] Model trained and initialized.
[2026-04-08T13:03:59.170Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:04:00.170Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:04:01.171Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:04:02.172Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:04:03.173Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:04:04.173Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:04:05.173Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:04:06.175Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:04:07.175Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:04:08.178Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:04:09.176Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:04:10.178Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:04:11.178Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:04:12.178Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:04:13.180Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:04:14.180Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:04:15.182Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:04:18.183Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.5637669651355709
[2026-04-08T13:04:19.184Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:04:20.185Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:04:21.185Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:04:22.188Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
